left_elbow,left_armpit,left_waist,left_knee,right_elbow,right_armpit,right_waist,right_knee,pose
172.2885237,88.84684809,126.5053034,178.225151,179.0412591,101.728959,86.90682922,91.95563644,warrior
173.8324715,93.89834962,129.8350732,159.4992741,175.382142,105.1684329,73.74570396,68.68894263,warrior
174.9989928,108.1847612,129.7272598,177.07218,167.0361594,119.1427899,99.47325793,99.36901024,warrior
175.380216,100.0909051,103.4005328,100.2040625,179.4625132,96.38871234,125.0818695,171.9927658,warrior
179.7509452,102.0845575,95.72947026,106.7586226,172.4661651,88.2608471,134.1569674,170.3775169,warrior
173.790498,93.64155168,123.2264953,178.4699752,169.6084951,94.74645571,80.46560319,98.73995859,warrior
159.924872,95.29878734,140.3046199,175.7334125,162.8124642,106.3962078,127.3461844,114.4098269,warrior
128.6394999,162.0411013,121.6892523,122.9836218,127.279797,162.9789286,120.0066326,161.3629502,warrior
174.6030763,96.10323008,116.6525712,171.4655681,174.0887553,99.75868202,96.28324768,100.11623,warrior
175.1800331,80.78622644,141.4163315,175.9653193,176.6904841,95.49078447,122.9190633,128.3303552,warrior
179.4611637,90.23384272,136.4490174,175.7636084,175.9628296,100.7223941,95.82950477,116.5409715,warrior
178.2254825,101.5498037,103.0882951,127.5456236,176.4601896,88.65167191,127.1440652,175.770781,warrior
173.0083291,100.1236667,139.445439,145.4099968,14.84576931,82.47754926,157.9862266,150.2256638,warrior
159.5682701,98.7055271,74.54238615,79.14632854,167.5347116,87.7633313,83.07234722,82.40781596,warrior
104.4909832,27.92134502,169.2985778,167.6371399,168.8192093,2.034880889,179.0753717,176.9653159,warrior
174.9966259,92.00070434,128.3171786,179.9165005,1.130828685,96.95748799,105.3519508,103.6322587,warrior
172.6415193,91.28726361,145.9719799,166.3002772,176.9877676,107.817142,98.42168405,128.1123083,warrior
177.5048084,94.04119674,133.244398,179.147548,173.7614396,107.4150359,101.1999525,122.0461682,warrior
179.427513,96.44100355,90.5567655,98.0621133,178.3856028,100.3489521,118.0700825,175.5974302,warrior
178.056481,92.42325785,98.97099088,108.8242079,168.9139326,88.07301259,174.1031316,123.6179898,warrior
174.0054737,83.14590704,138.9214537,170.4705015,6.714857119,82.11916629,109.8917581,115.7523266,warrior
