left_elbow,left_armpit,left_waist,left_knee,right_elbow,right_armpit,right_waist,right_knee,pose
171.6165914,163.0879599,173.3460471,174.2614058,177.0382138,158.7352483,115.4152731,28.01844112,tree
178.5273263,167.6488301,177.795598,178.3297232,174.0128768,176.5776858,124.3476844,45.51959903,tree
112.0371951,165.7243365,178.0472554,179.6587283,117.826048,156.3206535,127.368356,56.08067315,tree
105.9427695,162.6805941,173.5634725,168.0427154,116.170759,161.1874366,138.0940446,74.16016961,tree
172.3183583,175.8196847,120.3104506,35.32063287,178.2729566,165.4587438,179.7962432,176.6755975,tree
177.5497809,179.1449682,121.3550255,47.30849148,177.8735671,172.6751383,171.748009,177.7871244,tree
163.0711783,167.8141414,176.7547649,174.2695864,154.8260967,176.2289256,125.720639,31.99547074,tree
123.2300862,166.4575968,120.3590639,27.71728595,126.2367383,172.1120806,175.9729523,178.6265819,tree
166.049467,174.7059742,117.3999575,37.56984793,162.9255702,174.9782225,175.1022106,179.43343,tree
133.9566705,175.3650768,119.6095674,27.86347672,142.9042632,178.2569768,178.7517806,178.0651633,tree
146.781189,140.3543636,128.328247,38.01513706,143.2564792,142.5258382,175.9583356,174.7205047,tree
155.132418,175.8490044,176.0572304,177.7978212,138.7989982,167.3739101,131.4461674,28.38533509,tree
166.072743,168.5466091,173.9838849,173.6115142,159.6802844,178.5683062,116.0933029,28.02606401,tree
176.0893689,169.3135008,178.5297423,175.8963692,169.5327319,162.860671,114.6999517,15.86159931,tree
142.3928409,178.0374447,178.3233087,178.5085666,146.1177937,170.3716952,131.4449794,29.29473765,tree
176.9817074,178.4873563,175.4560895,179.3688365,174.4342325,169.6412047,126.6879677,31.38063219,tree
164.7073179,165.7695368,178.1925518,178.5925137,157.0383988,174.2682174,122.9663462,32.26131905,tree
148.2284463,164.6038296,128.8258522,97.80155078,140.2004183,159.1822438,122.9434616,85.12153198,tree
164.5406888,155.4792233,169.1121837,178.5104384,164.6848483,170.4286273,167.9480073,176.6962962,tree
119.8616723,158.6321808,133.3091764,97.44738648,120.8135534,166.3869327,175.8886944,177.8153035,tree
176.0893689,169.3135008,178.5297423,175.8963692,169.5327319,162.860671,114.6999517,15.86159931,tree
177.5497809,179.1449682,121.3550255,47.30849148,177.8735671,172.6751383,171.748009,177.7871244,tree
170.668739,175.7822831,132.5250778,33.82179622,159.7560847,179.7299389,177.5692955,179.2396429,tree
164.9552039,157.4328534,119.8978622,21.44694088,167.4326545,175.5959338,178.9531388,173.7539932,tree
155.132418,175.8490044,176.0572304,177.7978212,138.7989982,167.3739101,131.4461674,28.38533509,tree
112.0371951,165.7243365,178.0472554,179.6587283,117.826048,156.3206535,127.368356,56.08067315,tree
161.7553659,179.992193,120.2922474,36.42130864,166.3069108,173.4378974,175.3201667,179.1082291,tree
106.6894157,162.6750693,118.5772801,72.62022367,119.789228,174.5527824,161.852022,146.5885389,tree
167.3352679,168.9403443,176.7796905,176.1692079,158.1753577,176.7865889,127.7501907,27.99978962,tree
129.9136527,170.2514672,174.3584208,175.9422346,128.5009725,165.0980972,141.4640692,78.5040025,tree
